model,n_total,accuracy,precision,recall,f1,csr,csr_with_fuzzy,csr_attempted,csr_attempted_n,n_correct_tool_selections,malformed_rate,fuzzy_match_count,unknown_tool_count
gemma2-2b-it,470,0.8829787234042553,0.8333333333333334,0.9574468085106383,0.8910891089108911,0.6808510638297872,0.6808510638297872,0.7111111111111111,225,160,0.0,0,10
llama3.2-3b-instruct,470,0.8808510638297873,0.8482490272373541,0.9276595744680851,0.8861788617886179,0.7106382978723405,0.7148936170212766,0.7660550458715596,218,167,0.0,1,15
qwen2.5-7b-instruct-4bit,470,0.951063829787234,1.0,0.902127659574468,0.9485458612975392,0.774468085106383,0.774468085106383,0.8584905660377359,212,182,0.0,0,0
